determinand.definition,sample.sampleDateTime,sample.samplingPoint.easting,sample.samplingPoint.northing,sample.sampledMaterialType.label,Ammoniacal Nitrogen as N,pH,"Nitrogen, Total Oxidised as N",Nitrate as N,Nitrite as N,"Orthophosphate, reactive as P","Oxygen, Dissolved, % Saturation",Salinity : In Situ,Temperature of Water,BOD : 5 Day ATU,"Oxygen, Dissolved as O2","Nitrate, Filtered as N","Ammoniacal Nitrogen, Filtered as N","Nitrite, Filtered as N","Orthophosphate, Filtered as P","Nitrogen, Total Oxidised, Filtered as N",Turbidity : In Situ,Chlorophyll : Acetone Extract,Sample Depth below surface,Water Depth,Volume of Sample Filtered,NGR : Easting,NGR : Northing,"Nitrogen, Dissolved Inorganic : as N",Time of high tide,Time of sampling relative to previous high water,"Silicate, Filtered as SiO2"
2903,2019-05-06T11:27:00,464200,96000,SEA WATER,,,,,,,99.2,34.23,12.0,,8.65,0.0063,0.006999999999999999,0.0007,0.002,0.006999999999999999,1.4,2.1,0.2,14.0,650.0,464185.0,95980.0,0.014,13.05,10.37,0.102
2904,2019-05-06T11:47:00,466500,93300,SEA WATER,,,,,,,100.5,34.29,12.0,,8.76,0.0063,0.006999999999999999,0.0007,0.002,0.006999999999999999,2.9,1.9,0.2,29.4,1000.0,466503.0,93300.0,0.014,13.05,10.57,0.095
2905,2019-05-07T14:04:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.58,6.9,6.9,0.004,0.012,103.0,,11.4,,11.2,,,,,,,,,,,,,,,,
2906,2019-05-07T14:20:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,9.52,3.2,3.14,0.0594,0.18,237.4,,16.1,1.57,23.3,,,,,,,,,,,,,,,,
2907,2019-05-10T14:33:00,468670,99700,ESTUARINE WATER,,,,,,,103.5,34.29,12.9,,8.85,0.0063,0.006999999999999999,0.0007,0.002,0.006999999999999999,4.3,2.1,0.2,12.8,0.0,468662.0,99651.0,0.014,15.2,10.57,0.131
2908,2019-05-10T14:46:00,468380,101980,ESTUARINE WATER,,,,,,,102.8,34.33,12.7,,8.82,0.0063,0.006999999999999999,0.0007,0.002,0.006999999999999999,9.1,2.0,0.2,4.9,0.0,468385.0,101967.0,0.014,15.2,11.1,0.117
2909,2019-05-10T14:57:00,467500,104000,ESTUARINE WATER,,,,,,,92.5,34.01,12.8,,7.94,0.0064,0.006999999999999999,0.0007,0.002,0.0071,5.3,1.3,0.2,2.8,0.0,467543.0,103962.0,0.0141,15.2,11.21,0.226
2910,2019-05-10T15:13:00,469000,101200,ESTUARINE WATER,,,,,,,104.2,34.29,12.9,,8.91,0.0063,0.006999999999999999,0.0007,0.002,0.006999999999999999,4.0,1.5,0.2,6.1,0.0,468997.0,101189.0,0.014,15.2,11.37,0.127
2911,2019-05-10T15:20:00,470300,102000,ESTUARINE WATER,,,,,,,104.0,34.05,12.9,,8.91,0.0063,0.006999999999999999,0.0007,0.002,0.006999999999999999,5.1,2.1,0.2,8.4,0.0,470275.0,101962.0,0.014,15.2,0.0,0.122
2912,2019-05-10T15:27:00,470600,103800,ESTUARINE WATER,,,,,,,96.2,33.99,13.0,,8.22,0.0126,0.006999999999999999,0.0007,0.002,0.0133,3.1,1.6,0.2,6.1,0.0,470548.0,103774.0,0.0203,15.2,0.07,0.223
2913,2019-05-10T15:31:00,470300,104550,ESTUARINE WATER,,,,,,,92.7,33.72,13.2,,7.91,0.0415,0.006999999999999999,0.00075,0.002,0.0422,3.0,1.4,0.2,5.0,0.0,470327.0,104515.0,0.0492,15.2,0.11,0.297
2914,2019-05-10T15:39:00,471800,104300,ESTUARINE WATER,,,,,,,89.9,33.82,13.1,,7.68,0.0332,0.006999999999999999,0.0007,0.002,0.0339,5.1,2.2,0.2,3.2,0.0,471717.0,104260.0,0.0409,15.2,0.19,0.258
2915,2019-05-15T09:11:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2916,2019-05-16T11:56:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,4.45,,,,,,,,,,,,,,,,,
2917,2019-05-29T08:09:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,
2918,2019-06-04T08:37:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.33,6.5,6.5,0.004,0.01,92.2,,11.1,,10.1,,,,,,,,,,,,,,,,
2919,2019-06-04T10:14:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.45,2.68,2.62,0.058,0.264,127.3,,15.1,1.43,12.8,,,,,,,,,,,,,,,,
2920,2019-06-13T09:04:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,6.31,,,,,,,,,,,,,,,,,
2921,2019-06-14T08:49:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,9.7,,,,,,,,,,,,,,,,,
2922,2019-06-16T10:01:00,468670,99700,ESTUARINE WATER,,,,,,,96.5,34.23,15.6,,7.81,0.0107,0.006999999999999999,0.00126,0.0033,0.012,4.0,1.6,0.2,17.24,2000.0,468648.0,99797.0,0.019,11.51,10.36,0.185
2923,2019-06-16T10:13:00,468380,101980,ESTUARINE WATER,,,,,,,94.5,34.24,15.6,,7.65,0.00765,0.006999999999999999,0.00165,0.0026,0.0093,4.8,1.6,0.2,4.85,1950.0,468374.0,101986.0,0.0163,11.51,10.48,0.181
2924,2019-06-16T10:24:00,467500,104000,ESTUARINE WATER,,,,,,,94.8,34.02,15.7,,7.67,0.0063,0.006999999999999999,0.0007,0.0028,0.006999999999999999,10.9,0.88,0.2,4.94,1180.0,467669.0,103302.0,0.014,11.51,10.59,0.184
2925,2019-06-16T10:44:00,469000,101200,ESTUARINE WATER,,,,,,,97.0,34.23,15.7,,7.83,0.0063,0.006999999999999999,0.0007,0.002,0.006999999999999999,3.5,,0.2,7.96,1900.0,469032.0,101198.0,0.014,11.51,11.19,0.15
2926,2019-06-16T10:55:00,470300,102000,ESTUARINE WATER,,,,,,,95.5,34.22,15.6,,7.73,0.0118,0.006999999999999999,0.00101,0.0035,0.0128,4.5,,0.2,7.8,1450.0,470334.0,102003.0,0.0198,11.51,11.3,0.193
2927,2019-06-16T11:08:00,470600,103800,ESTUARINE WATER,,,,,,,95.6,34.22,15.8,,7.71,0.0063,0.006999999999999999,0.0007,0.002,0.006999999999999999,3.6,1.5,0.2,5.24,1500.0,470583.0,103806.0,0.014,11.51,11.43,0.161
2928,2019-06-16T11:16:00,470300,104550,ESTUARINE WATER,,,,,,,93.3,33.87,16.0,,7.51,0.0228,0.011,0.00104,0.0038,0.0238,3.9,1.4,0.2,4.47,1560.0,470305.0,104593.0,0.0348,11.51,11.51,0.258
2929,2019-06-16T11:29:00,471800,104300,ESTUARINE WATER,,,,,,,94.9,33.67,15.964,,7.65,0.0295,0.0084,0.00121,0.0036,0.0307,7.2,1.4,0.2,4.14,1280.0,471546.0,104208.0,0.0391,11.51,12.04,0.29100000000000004
2930,2019-06-24T07:23:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,3.32,,,,,,,,,,,,,,,,,
2931,2019-07-03T11:25:00,464200,96000,SEA WATER,,,,,,,94.8,34.51,18.5,,7.24,0.0063,0.006999999999999999,0.0007,0.0027,0.006999999999999999,3.5,1.2,0.2,15.27,1000.0,464164.0,96031.0,0.014,12.37,11.16,0.21
2932,2019-07-04T09:00:00,466500,93300,SEA WATER,,,,,,,92.6,34.71,18.1,,7.12,0.006220000000000001,0.006999999999999999,0.00078,0.003,0.006999999999999999,3.6,1.6,0.2,27.37,980.0,466533.0,93273.0,0.014,13.31,8.09,0.15
2933,2019-07-05T11:36:00,468670,99700,ESTUARINE WATER,,,,,,,96.8,34.67,19.5,,7.25,0.0056,0.006999999999999999,0.0014,0.0028,0.006999999999999999,3.5,1.2,0.2,13.31,1040.0,468673.0,99771.0,0.014,14.24,9.45,0.14
2934,2019-07-05T11:47:00,468380,101980,ESTUARINE WATER,,,,,,,96.3,34.65,19.7,,7.18,0.0063,0.0073,0.0007,0.0032,0.006999999999999999,9.3,1.6,0.2,5.01,1050.0,468355.0,101978.0,0.0143,14.24,9.56,0.13
2935,2019-07-05T11:54:00,467500,104000,ESTUARINE WATER,,,,,,,98.0,34.63,19.7,,7.31,0.0063,0.006999999999999999,0.0007,0.0036,0.006999999999999999,8.5,1.9,0.2,5.84,1020.0,467923.0,102821.0,0.014,14.24,10.03,0.16
2936,2019-07-05T12:09:00,469000,101200,ESTUARINE WATER,,,,,,,99.0,34.68,19.2,,7.45,0.0063,0.006999999999999999,0.0007,0.0033,0.006999999999999999,4.5,1.7,0.2,6.65,1000.0,469006.0,101182.0,0.014,14.24,10.18,0.15
2937,2019-07-05T12:16:00,470300,102000,ESTUARINE WATER,,,,,,,97.3,34.68,19.5,,7.28,0.0063,0.006999999999999999,0.0007,0.0028,0.006999999999999999,4.9,1.1,0.2,6.99,1060.0,470312.0,102008.0,0.014,14.24,10.25,0.12
2938,2019-07-05T12:26:00,470600,103800,ESTUARINE WATER,,,,,,,96.4,34.62,19.8,,7.18,0.0063,0.006999999999999999,0.0007,0.0036,0.006999999999999999,5.6,1.9,0.2,6.03,1040.0,470558.0,103782.0,0.014,14.24,10.35,0.15
2939,2019-07-05T12:33:00,470300,104550,ESTUARINE WATER,,,,,,,97.1,34.52,20.4,,7.16,0.0063,0.006999999999999999,0.0007,0.0031,0.006999999999999999,4.8,2.3,0.2,4.9,1030.0,470315.0,104570.0,0.014,14.24,10.42,0.17
2940,2019-07-05T12:47:00,471800,104300,ESTUARINE WATER,,,,,,,111.6,34.31,21.1,,8.13,0.00605,0.006999999999999999,0.00095,0.004,0.006999999999999999,3.2,1.9,0.2,3.61,1030.0,471596.0,104218.0,0.014,14.24,10.56,0.21
2941,2019-07-08T10:51:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.79,3.3,3.27,0.034,0.19,127.3,,16.4,1.8,12.4,,,,,,,,,,,,,,,,
2942,2019-07-09T09:49:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2943,2019-07-10T09:40:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,
2944,2019-07-10T11:09:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.65,6.8,6.8,0.004,0.01,101.5,,12.4,,10.8,,,,,,,,,,,,,,,,
2945,2019-08-01T14:10:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,9.25,3.2,3.19,0.013,0.25,195.5,,19.5,1.5,17.9,,,,,,,,,,,,,,,,
2946,2019-08-02T08:32:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.51,6.6,6.6,0.004,0.01,95.7,,11.8,,10.3,,,,,,,,,,,,,,,,
2947,2019-08-03T07:22:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,3.77,,,,,,,,,,,,,,,,,
2948,2019-08-05T09:52:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,2.74,,,,,,,,,,,,,,,,,
2949,2019-08-06T10:00:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,2.93,,,,,,,,,,,,,,,,,
2950,2019-08-07T13:58:00,468670,99700,ESTUARINE WATER,,,,,,,96.5,34.65,20.1,,7.15,0.0223,0.021,0.0027,0.0094,0.025,2.9,2.2,0.2,12.56,1900.0,468685.0,99713.0,0.046,17.35,8.56,0.25
2951,2019-08-07T14:16:00,468380,101980,ESTUARINE WATER,,,,,,,89.5,34.69,19.7,,6.67,0.0164,0.022,0.0016,0.0071,0.018000000000000002,0.7,2.5,0.2,3.92,1410.0,468381.0,101982.0,0.04,17.35,9.14,0.3
2952,2019-08-07T14:25:00,467500,104000,ESTUARINE WATER,,,,,,,93.5,34.79,19.8,,6.96,0.0061,0.014,0.0013,0.006,0.0074,5.8,2.1,0.2,5.92,1300.0,467979.0,102712.0,0.0214,17.35,9.23,0.29
2953,2019-08-07T14:39:00,469000,101200,ESTUARINE WATER,,,,,,,95.3,34.64,20.2,,7.04,0.0214,0.023,0.0026,0.0093,0.024,6.9,2.4,0.2,7.19,1000.0,469078.0,101196.0,0.047,17.35,9.37,0.26
2954,2019-08-07T14:49:00,470300,102000,ESTUARINE WATER,,,,,,,93.9,34.68,20.0,,6.96,0.0167,0.018000000000000002,0.0023,0.0082,0.019,9.8,2.8,0.2,7.46,1300.0,470346.0,102055.0,0.037000000000000005,17.35,9.47,0.25
2955,2019-08-07T15:01:00,470600,103800,ESTUARINE WATER,,,,,,,90.4,34.69,20.0,,6.7,0.0144,0.024,0.0016,0.0057,0.016,6.2,3.0,0.2,3.85,1190.0,470585.0,103809.0,0.04,17.35,9.59,0.35
2956,2019-08-07T15:08:00,470300,104550,ESTUARINE WATER,,,,,,,93.2,34.77,20.1,,6.9,0.0074,0.021,0.0013,0.0054,0.0087,8.2,1.5,0.2,4.13,900.0,470311.0,104595.0,0.0297,17.35,10.06,0.33
2957,2019-08-07T15:22:00,471800,104300,ESTUARINE WATER,,,,,,,94.4,34.07,20.5,,6.97,0.0954,0.014,0.0026,0.0042,0.098,31.8,6.4,0.2,3.2,610.0,471537.0,104194.0,0.112,17.35,10.2,0.59
2958,2019-08-20T10:14:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,4.29,,,,,,,,,,,,,,,,,
2959,2019-09-02T09:00:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
2960,2019-09-03T08:50:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,
2961,2019-09-07T14:56:00,464200,96000,SEA WATER,,,,,,,91.5,34.92,18.4,,6.98,0.0247,0.011,0.0023,0.0095,0.027000000000000003,4.8,1.7,0.2,10.46,1050.0,464131.0,95985.0,0.038,18.53,8.29,0.19
2962,2019-09-08T08:56:00,466500,93300,SEA WATER,,,,,,,91.9,35.04,18.3,,7.02,0.00615,0.019,0.00085,0.0031,0.006999999999999999,0.2,1.5,0.2,31.97,1010.0,466449.0,93278.0,0.026,7.37,1.19,0.096
2963,2019-09-09T08:52:00,468670,99700,ESTUARINE WATER,,,,,,,91.7,34.89,17.6,,7.11,0.0295,0.0086,0.0025,0.0083,0.032,2.1,1.8,0.2,12.5,0.0,468694.0,99641.0,0.0406,8.51,0.01,0.22
2964,2019-09-09T09:11:00,471800,104300,ESTUARINE WATER,,,,,,,88.5,34.9,16.5,,7.0,0.015,0.02,0.002,0.0075,0.017,2.4,1.3,0.2,2.9,0.0,471720.0,104259.0,0.037000000000000005,8.51,0.2,0.3
2965,2019-09-09T09:18:00,470300,104550,ESTUARINE WATER,,,,,,,92.9,34.75,16.4,,7.37,0.0261,0.014,0.0019,0.0047,0.028,2.3,2.0,0.2,5.3,0.0,470356.0,104498.0,0.042,8.51,0.27,0.34
2966,2019-09-09T09:23:00,470600,103800,ESTUARINE WATER,,,,,,,95.7,34.79,16.6,,7.57,0.024,0.0095,0.002,0.0051,0.026,1.7,1.7,0.2,5.9,0.0,470550.0,103838.0,0.0355,8.51,0.32,0.31
2967,2019-09-09T09:30:00,470300,102000,ESTUARINE WATER,,,,,,,91.2,34.89,17.5,,7.08,0.0257,0.01,0.0023,0.0076,0.028,1.6,2.0,0.2,7.3,0.0,470309.0,102044.0,0.038,8.51,0.39,0.22
2968,2019-09-09T09:36:00,469000,101200,ESTUARINE WATER,,,,,,,91.4,34.89,17.5,,7.1,0.0239,0.006999999999999999,0.0021,0.006999999999999999,0.026,1.9,1.8,0.2,7.5,0.0,469078.0,101238.0,0.033,8.51,0.45,0.22
2969,2019-09-09T09:43:00,468380,101980,ESTUARINE WATER,,,,,,,90.2,34.9,17.7,,6.98,0.0276,0.0072,0.0024,0.0083,0.03,1.8,1.8,0.2,5.9,0.0,468387.0,101901.0,0.0372,8.51,0.52,0.22
2970,2019-09-09T09:53:00,467500,104000,ESTUARINE WATER,,,,,,,93.7,34.96,16.6,,7.4,0.0125,0.0074,0.0015,0.0047,0.014,2.5,1.7,0.2,3.1,0.0,467570.0,103942.0,0.0214,8.51,1.02,0.25
2971,2019-09-09T11:52:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.64,6.2,6.2,0.004,0.01,90.4,,11.2,,9.9,,,,,,,,,,,,,,,,
2972,2019-09-17T13:50:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.71,3.9,3.88,0.023,0.33,129.2,,17.5,1.9,12.3,,,,,,,,,,,,,,,,
2973,2019-09-19T10:09:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,6.86,,,,,,,,,,,,,,,,,
2974,2019-10-07T13:38:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.34,2.2,2.19,0.014,0.096,108.7,,14.3,1.6,11.1,,,,,,,,,,,,,,,,
2975,2019-10-08T10:36:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.58,6.1,6.1,0.004,0.015,97.5,,11.4,,10.6,,,,,,,,,,,,,,,,
2976,2019-10-22T06:54:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,2.81,,,,,,,,,,,,,,,,,
2977,2019-10-30T09:01:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,3.67,,,,,,,,,,,,,,,,,
2978,2019-10-31T11:43:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,3.54,,,,,,,,,,,,,,,,,
2979,2019-11-01T13:23:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,8.52,6.0,6.0,0.004,0.012,98.0,,11.4,,10.7,,,,,,,,,,,,,,,,
2980,2019-11-06T14:20:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.03,8.11,2.07,2.06,0.0092,0.092,97.1,,10.8,,10.7,,,,,,,,,,,,,,,,
2981,2019-11-07T09:57:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,7.14,,,,,,,,,,,,,,,,,
2982,2019-11-08T10:00:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,4.57,,,,,,,,,,,,,,,,,
2983,2019-11-14T07:54:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,3.28,,,,,,,,,,,,,,,,,
2984,2019-11-21T11:37:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,2.69,,,,,,,,,,,,,,,,,
2985,2019-12-02T10:40:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.72,6.6,6.6,0.004,0.013,81.3,,10.1,,9.14,,,,,,,,,,,,,,,,
2986,2019-12-02T11:13:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.032,8.21,2.1,2.09,0.011,0.083,83.1,,6.4,1.5,10.2,,,,,,,,,,,,,,,,
2987,2019-12-07T11:40:00,464200,96000,SEA WATER,,,,,,,93.3,34.0,9.2,,8.66,0.203,0.03,0.0074,0.018000000000000002,0.21,8.5,0.5,0.2,13.8,1030.0,464216.0,95959.0,0.24,7.26,4.14,0.57
2988,2019-12-07T11:55:00,466500,93300,SEA WATER,,,,,,,93.3,34.6,9.8,,8.51,0.122,0.011,0.008,0.016,0.13,5.5,0.5,0.2,28.2,1090.0,466504.0,93301.0,0.141,7.26,4.29,0.35
2989,2019-12-12T09:01:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,3.32,,,,,,,,,,,,,,,,,
2990,2019-12-13T08:33:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,4.77,,,,,,,,,,,,,,,,,
2991,2019-12-17T11:05:00,468670,99700,ESTUARINE WATER,,,,,,,95.3,33.4,8.4,,9.05,0.279,0.021,0.011,0.019,0.29,10.1,1.0,0.2,11.4,0.0,468685.0,99637.0,0.311,7.49,3.16,0.75
2992,2019-12-17T11:16:00,468380,101980,ESTUARINE WATER,,,,,,,93.8,32.9,8.2,,8.98,0.319,0.041,0.011,0.019,0.33,18.7,1.1,0.2,3.9,0.0,468383.0,101905.0,0.371,7.49,3.27,0.88
2993,2019-12-17T11:26:00,467500,104000,ESTUARINE WATER,,,,,,,90.4,32.5,8.0,,8.72,0.308,0.044,0.012,0.017,0.32,12.4,1.8,0.2,1.6,0.0,467568.0,103941.0,0.364,15.0,3.37,1.0
2994,2019-12-17T11:38:00,469000,101200,ESTUARINE WATER,,,,,,,95.8,33.4,8.4,,9.1,0.279,0.023,0.011,0.019,0.29,20.6,1.1,0.2,7.1,0.0,468962.0,101147.0,0.313,15.0,3.49,0.74
2995,2019-12-17T11:44:00,470300,102000,ESTUARINE WATER,,,,,,,94.2,32.8,8.1,,9.04,0.319,0.041,0.011,0.02,0.33,11.8,1.2,0.2,6.5,0.0,470231.0,101967.0,0.371,15.0,3.55,0.86
2996,2019-12-17T11:50:00,470600,103800,ESTUARINE WATER,,,,,,,94.2,32.3,7.9,,9.12,0.368,0.061,0.012,0.019,0.38,10.4,1.7,0.2,4.9,0.0,470572.0,103724.0,0.441,15.0,4.01,0.97
2997,2019-12-17T11:54:00,470300,104550,ESTUARINE WATER,,,,,,,94.0,32.2,7.8,,9.13,0.768,0.08800000000000001,0.012,0.021,0.78,10.1,0.86,0.2,3.8,0.0,470338.0,104488.0,0.868,15.0,4.05,2.0
2998,2019-12-17T12:04:00,471800,104300,ESTUARINE WATER,,,,,,,96.5,31.3,7.9,,9.41,0.518,0.068,0.012,0.02,0.53,6.9,1.1,0.2,2.2,0.0,471711.0,104258.0,0.598,15.0,4.15,1.3
2999,2020-01-07T13:45:00,464200,96000,SEA WATER,,,,,,,99.7,33.3,8.6,,9.43,0.256,0.0093,0.0043,0.017,0.26,9.4,0.51,0.2,13.3,1020.0,464185.0,96048.0,0.269,13.5,6.08,0.59
3000,2020-01-08T10:18:00,466500,93300,SEA WATER,,,,,,,99.1,33.8,8.9,,9.28,0.246,0.006999999999999999,0.0044,0.02,0.25,7.2,1.1,0.2,33.2,1000.0,466424.0,93317.0,0.257,9.42,0.36,0.55
3001,2020-01-09T08:27:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,
3002,2020-01-15T13:25:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.044,7.8,1.6,1.59,0.0065,0.044,90.8,,9.1,1.6,10.5,,,,,,,,,,,,,,,,
3003,2020-01-17T13:36:00,468670,99700,ESTUARINE WATER,,,,,,,103.6,32.95,9.1,,9.71,0.345,0.02,0.005,0.021,0.35,26.4,1.0,0.2,14.24,680.0,468653.0,99712.0,0.37,16.39,9.15,0.83
3004,2020-01-17T13:48:00,468380,101980,ESTUARINE WATER,,,,,,,99.3,32.69,9.0,,9.35,0.376,0.021,0.0044,0.019,0.38,48.8,2.1,0.2,5.7,700.0,468322.0,102007.0,0.401,16.39,9.27,0.89
3005,2020-01-17T14:00:00,467500,104000,ESTUARINE WATER,,,,,,,96.8,31.98,8.9,,9.18,0.404,0.043,0.006,0.016,0.41,19.6,1.2,0.2,4.05,790.0,467644.0,103281.0,0.453,16.39,9.39,1.0
3006,2020-01-17T14:18:00,469000,101200,ESTUARINE WATER,,,,,,,99.0,32.82,9.1,,9.29,0.34600000000000003,0.02,0.004,0.02,0.35,28.9,1.3,0.2,7.8,600.0,469079.0,101184.0,0.37,16.39,9.57,0.86
3007,2020-01-17T14:27:00,470300,102000,ESTUARINE WATER,,,,,,,99.2,32.86,9.0,,9.33,0.306,0.02,0.0045,0.017,0.31,34.3,1.3,0.2,6.67,700.0,470296.0,101971.0,0.33,16.39,10.06,0.76
3008,2020-01-17T14:38:00,470600,103800,ESTUARINE WATER,,,,,,,97.9,31.49,8.9,,9.31,0.514,0.054000000000000006,0.0065,0.018000000000000002,0.52,20.6,1.4,0.2,6.3,700.0,470582.0,103784.0,0.574,16.39,10.17,1.2
3009,2020-01-17T14:45:00,470300,104550,ESTUARINE WATER,,,,,,,98.0,31.03,8.9,,9.35,0.573,0.068,0.0069,0.019,0.58,16.7,1.6,0.2,5.51,710.0,470348.0,470348.0,0.648,16.39,10.24,1.3
3010,2020-01-17T14:57:00,471800,104300,ESTUARINE WATER,,,,,,,97.6,26.4,8.8,,9.63,1.29,0.17,0.012,0.023,1.3,42.6,2.8,0.2,3.41,600.0,471630.0,104225.0,1.47,16.39,10.36,2.6
3011,2020-01-22T09:03:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,19.1,,,,,,,,,,,,,,,,,
3012,2020-01-23T08:41:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,7.21,,,,,,,,,,,,,,,,,
3013,2020-01-27T13:36:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.004,7.51,7.4,7.4,0.0007,0.017,98.3,,11.3,,10.7,,,,,,,,,,,,,,,,
3014,2020-02-03T09:31:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,4.23,,,,,,,,,,,,,,,,,
3015,2020-02-03T11:44:00,471073,106778,RIVER / RUNNING SURFACE WATER,0.035,7.96,1.7,1.69,0.0083,0.053,102.6,,9.5,1.4,11.7,,,,,,,,,,,,,,,,
3016,2020-02-04T10:44:00,470680,105280,FINAL SEWAGE EFFLUENT,,,,,,,,,,6.46,,,,,,,,,,,,,,,,,
3017,2020-02-12T10:41:00,464200,96000,SEA WATER,,,,,,,110.8,32.84,8.0,,10.7,0.4270000000000001,0.0096,0.0031,0.023,0.43,53.1,1.2,0.2,14.62,1000.0,464246.0,96004.0,0.44,13.0,7.34,0.82
3018,2020-02-12T10:53:00,466500,93300,SEA WATER,,,,,,,109.1,32.74,7.9,,10.5,0.417,0.011,0.0031,0.021,0.42,17.6,0.82,0.2,24.53,1000.0,466539.0,93338.0,0.431,13.0,7.46,0.81
3019,2020-02-13T09:17:00,471507,105709,RIVER / RUNNING SURFACE WATER,0.03,7.28,6.4,6.4,0.004,0.028,99.1,,9.8,,11.2,,,,,,,,,,,,,,,,
3020,2020-02-13T13:57:00,468670,99700,ESTUARINE WATER,,,,,,,,32.85,7.8,,,0.396,0.02,0.004,0.019,0.4,46.7,0.91,0.2,15.01,1000.0,468669.0,99629.0,0.42,14.2,11.47,0.82
3021,2020-02-13T14:06:00,468380,101980,ESTUARINE WATER,,,,,,,,33.13,8.0,,,0.34600000000000003,0.02,0.004,0.02,0.35,41.3,1.2,0.2,7.15,1000.0,468343.0,101984.0,0.37,14.2,11.56,0.74
3022,2020-02-13T14:13:00,467500,104000,ESTUARINE WATER,,,,,,,,32.85,7.9,,,0.396,0.02,0.004,0.019,0.4,32.9,1.2,0.2,6.04,1000.0,467677.0,103256.0,0.42,14.2,12.03,0.92
3023,2020-02-13T14:25:00,469000,101200,ESTUARINE WATER,,,,,,,,32.78,7.9,,,0.396,0.02,0.004,0.019,0.4,46.9,1.6,0.2,9.18,1000.0,469061.0,101137.0,0.42,14.2,0.05,0.82
3024,2020-02-13T14:31:00,470300,102000,ESTUARINE WATER,,,,,,,,32.66,7.8,,,0.406,0.02,0.004,0.019,0.41,35.7,1.2,0.2,8.11,1000.0,470263.0,101925.0,0.43,14.2,0.11,0.84
3025,2020-02-13T14:39:00,470600,103800,ESTUARINE WATER,,,,,,,,30.22,7.5,,,0.664,0.12,0.006,0.038,0.67,23.4,1.0,0.2,7.28,1000.0,470597.0,103724.0,0.79,14.2,0.19,1.3
3026,2020-02-13T14:44:00,470300,104550,ESTUARINE WATER,,,,,,,,31.43,7.4,,,0.516,0.034,0.0044,0.019,0.52,24.0,1.1,0.2,6.53,1000.0,470351.0,104548.0,0.5539999999999999,14.2,0.24,1.1
